Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,81123,2022,10,27,18.1,1,Y
IDCJAC0010,81123,2022,10,28,16.3,1,Y
IDCJAC0010,81123,2022,10,29,18.7,1,Y
IDCJAC0010,81123,2022,10,30,20.4,1,Y
IDCJAC0010,81123,2022,10,31,20.1,1,Y
IDCJAC0010,81123,2022,11,1,12.4,1,Y
IDCJAC0010,81123,2022,11,2,16.5,1,Y
IDCJAC0010,81123,2022,11,3,16.7,1,Y
IDCJAC0010,81123,2022,11,4,21,1,Y
IDCJAC0010,81123,2022,11,5,22.5,1,Y
IDCJAC0010,81123,2022,11,6,25.5,1,Y
IDCJAC0010,81123,2022,11,7,26.2,1,Y
IDCJAC0010,81123,2022,11,8,26.2,1,Y
IDCJAC0010,81123,2022,11,9,28.2,1,Y
IDCJAC0010,81123,2022,11,10,22.2,1,Y
IDCJAC0010,81123,2022,11,11,26.8,1,Y
IDCJAC0010,81123,2022,11,12,23.7,1,Y
IDCJAC0010,81123,2022,11,13,21.3,1,Y
IDCJAC0010,81123,2022,11,14,20.1,1,Y
IDCJAC0010,81123,2022,11,15,15.2,1,Y
IDCJAC0010,81123,2022,11,16,16.2,1,Y
IDCJAC0010,81123,2022,11,17,17.3,1,Y
IDCJAC0010,81123,2022,11,18,23.7,1,Y
IDCJAC0010,81123,2022,11,19,20.6,1,Y
IDCJAC0010,81123,2022,11,20,18.1,1,Y
IDCJAC0010,81123,2022,11,21,14.7,1,Y
IDCJAC0010,81123,2022,11,22,18.9,1,Y
IDCJAC0010,81123,2022,11,23,20.6,1,Y
IDCJAC0010,81123,2022,11,24,21.6,1,Y
IDCJAC0010,81123,2022,11,25,23.9,1,Y
IDCJAC0010,81123,2022,11,26,28,1,Y
IDCJAC0010,81123,2022,11,27,22.2,1,Y
IDCJAC0010,81123,2022,11,28,18.9,1,Y
IDCJAC0010,81123,2022,11,29,21.5,1,Y
IDCJAC0010,81123,2022,11,30,23.8,1,Y
IDCJAC0010,81123,2022,12,1,23.5,1,N
IDCJAC0010,81123,2022,12,2,28.6,1,N
IDCJAC0010,81123,2022,12,3,31.3,1,N
IDCJAC0010,81123,2022,12,4,34.2,1,N
IDCJAC0010,81123,2022,12,5,19.9,1,N
IDCJAC0010,81123,2022,12,6,24.7,1,N
IDCJAC0010,81123,2022,12,7,25.8,1,N
IDCJAC0010,81123,2022,12,8,18.7,1,N
IDCJAC0010,81123,2022,12,9,20.4,1,N
IDCJAC0010,81123,2022,12,10,26.6,1,N
IDCJAC0010,81123,2022,12,11,26.4,1,N
IDCJAC0010,81123,2022,12,12,19.7,1,N
IDCJAC0010,81123,2022,12,13,19.4,1,N
IDCJAC0010,81123,2022,12,14,18.3,1,N
IDCJAC0010,81123,2022,12,15,18.9,1,N
IDCJAC0010,81123,2022,12,16,21.4,1,N
IDCJAC0010,81123,2022,12,17,24.3,1,N
IDCJAC0010,81123,2022,12,18,26.5,1,N
IDCJAC0010,81123,2022,12,19,28,1,N
IDCJAC0010,81123,2022,12,20,29.4,1,N
IDCJAC0010,81123,2022,12,21,27,1,N
IDCJAC0010,81123,2022,12,22,29.4,1,N
IDCJAC0010,81123,2022,12,23,29.9,1,N
IDCJAC0010,81123,2022,12,24,29.7,1,N
IDCJAC0010,81123,2022,12,25,34.9,1,N
IDCJAC0010,81123,2022,12,26,37.1,1,N
IDCJAC0010,81123,2022,12,27,38.2,1,N
IDCJAC0010,81123,2022,12,28,30.3,1,N
IDCJAC0010,81123,2022,12,29,23.9,1,N
IDCJAC0010,81123,2022,12,30,31.1,1,N
IDCJAC0010,81123,2022,12,31,32.3,1,N
